Title,Author,Created At
Update Project providers to also include the provider key,stnguyen90,2023-07-20T22:58:06Z
Add support for queries in List attributes endpoint,fanatic75,2023-07-20T18:52:35Z
Update description for User and Key accesedAt,stnguyen90,2023-07-20T18:48:25Z
change to use findOne instead of iterating index array,fanatic75,2023-07-19T08:35:49Z
Appwrite 1.4.0,eldadfux,2023-07-19T07:15:47Z
feat: router gen. 2,TorstenDittmann,2023-07-18T12:54:35Z
Bump clamav to get it working again,stnguyen90,2023-07-17T20:11:45Z
feat: add support for migrations,christyjacob4,2023-07-17T16:09:05Z
Add support for migrations,christyjacob4,2023-07-17T15:54:20Z
Adding the ability to change Appwrite hard limit,byawitz,2023-07-17T12:41:02Z
Fix 5404 update doc without relation permission,fanatic75,2023-07-13T17:45:26Z
Fix cache delete,shimonewman,2023-07-13T11:07:31Z
Add APIs to atomically increment/decrement numeric attributes,stnguyen90,2023-07-11T23:26:21Z
Update method name for updateMembershipRoles,lohanidamodar,2023-07-11T06:13:40Z
feat: x domain cookie,loks0n,2023-07-07T10:57:17Z
feat: SSR,loks0n,2023-07-06T15:21:15Z
fix doc comment for filter method,lohanidamodar,2023-07-05T06:06:50Z
Refactor workers,shimonewman,2023-07-04T07:46:33Z
Refactor init Files,lohanidamodar,2023-07-04T02:35:01Z
Fix small typo in docs,mendelgordon,2023-06-29T14:40:30Z
Audit Appwrite's generic error messages,gewenyu99,2023-06-22T21:35:43Z
update Flutter - Dart SDK,lohanidamodar,2023-06-21T10:56:14Z
Feat:  Whitelist enums,2002Bishwajeet,2023-06-19T12:28:42Z
Feat: Functions G4,Meldiron,2023-06-19T09:17:52Z
fix: abuse label for creating phone session,TorstenDittmann,2023-06-16T10:43:28Z
Incomplete Example, generate error: TypeError: file.stream.pipe is no…,Jhongt796,2023-06-15T21:52:37Z
Update delete session description to be actually correct,gewenyu99,2023-06-14T17:50:25Z
Add support for multiple events per endpoint,stnguyen90,2023-06-14T00:50:03Z
cache save refactor,shimonewman,2023-06-13T16:54:12Z
Fix cache delete bug master,shimonewman,2023-06-13T12:16:09Z
Feat: Client error logging,Meldiron,2023-06-13T11:49:42Z
Added missing word to portuguese email template,Miguelii,2023-06-12T22:39:45Z
Feat: Mulitple Events Execution,PineappleIOnic,2023-06-05T10:16:08Z
Refactor collections config,lohanidamodar,2023-06-01T02:24:14Z
Refactor cache poc,shimonewman,2023-05-31T12:53:44Z
feat: add encrypt param to string attribute,2002Bishwajeet,2023-05-30T07:04:36Z
remove required password for project deletion,lohanidamodar,2023-05-25T00:28:11Z
project delete group,lohanidamodar,2023-05-23T09:19:10Z
Feat relationship metadata,stnguyen90,2023-05-19T00:50:58Z
Feat connected accounts,stnguyen90,2023-05-18T01:12:18Z
Validate value of x-appwrite-id header,Suven-p,2023-05-17T19:44:48Z
Updated and renamed 10k-common-passwords to 100k-common-passwords,sm-raiyyan,2023-05-15T15:35:36Z
[FIX] #5506 fixed by increasing the offset from 5000 to 1000000 for li…,deepam-kapur,2023-05-05T21:03:22Z
Feat: Added minSize for String Attribute,singhbhaskar,2023-05-04T20:22:20Z
docs(environment-variables): Update functions documentation,Shiva953,2023-05-04T09:30:58Z
fix : Improper filter in Create user,Shiva953,2023-05-02T07:25:25Z
Add Appwrite Cloud to read me.,gewenyu99,2023-04-27T19:01:37Z
Implement Migrations API,PineappleIOnic,2023-04-27T08:36:04Z
Docs: Create document and unknown attribute error messages.,gewenyu99,2023-04-24T22:58:02Z
Add Shared Cookies for Cloud,PineappleIOnic,2023-04-21T10:23:32Z
Fix link on doc,fliitor,2023-04-20T00:57:44Z
Feat registrar,wess,2023-04-18T14:44:51Z
Update container images,Emiliaaah,2023-04-17T20:16:59Z
Usage migration,shimonewman,2023-04-17T08:41:27Z
Feat: CA certificates,Meldiron,2023-04-16T09:16:10Z
Disallow personal data,christyjacob4,2023-04-13T20:27:21Z
Updated doc with correct endpoints,x0samnan,2023-04-10T22:43:55Z
Added Documentation change on static files,pranjalg13,2023-04-08T16:43:24Z
Functions G4,vermakhushboo,2023-04-05T15:08:48Z
experiment: response models overhaul,TorstenDittmann,2023-03-31T01:04:26Z
Fix: spanish translations (emails),DHsoftw,2023-03-28T19:10:46Z
update readme-cn some doc,zhenfeng-zhu,2023-03-25T10:05:33Z
Adds sha256 to etsy pkce based auth,wess,2023-03-21T18:19:51Z
Prepare Flutter SDK release,stnguyen90,2023-03-14T23:01:51Z
fixed svg images using links in place of local svg,Veer0x1,2023-03-13T08:07:44Z
Dynamic attibute for related Primary key,fogelito,2023-03-06T16:07:25Z
Fix 4797 verified user getting email verifications,yatharth1706,2023-02-28T13:46:15Z
update base queries to make it extendable,lohanidamodar,2023-02-27T07:35:51Z
Feat cloud folder backup,shimonewman,2023-02-26T16:38:33Z
Fix: build worker warning,Meldiron,2023-02-23T12:50:46Z
Clean up docker-compose.yml,stnguyen90,2023-02-22T02:52:38Z
Docs: Fix Max Size of Function Response,gewenyu99,2023-02-17T22:25:48Z
Update errors.php,vedant-z,2023-02-16T19:41:47Z
Fix sdks and specs commands,Meldiron,2023-02-15T11:59:42Z
Fix:Changing command collections to collection,wilkensgomes,2023-02-04T19:00:55Z
Update Appwrite cloud & 1.2 announcement in README-CN,LDY681,2023-02-03T15:48:32Z
Feat: Open Runtimes v3 support,Meldiron,2023-02-02T19:21:44Z
Added RuPay Credit Card Icon in Avatars Service,Yavnik,2023-01-26T12:30:01Z
refactor autoload require,lohanidamodar,2023-01-20T06:45:37Z
[MAIN] Feat db pools,christyjacob4,2023-01-19T09:17:02Z
Feat : Decouple /projects endpoint,everly-gif,2023-01-16T18:37:18Z
Some POC for exceed timeout case,fogelito,2023-01-08T17:26:17Z
Feat reatime-cache-cert-sync,shimonewman,2023-01-05T15:08:42Z
Feat realtime region sync,shimonewman,2023-01-03T08:12:42Z
Feat: Transfer project between team,Meldiron,2022-12-29T22:44:42Z
introduce region dependency on deletes-worker,shimonewman,2022-12-28T11:05:02Z
add internalId to collections,shimonewman,2022-12-22T15:39:52Z
Refactor schedulers workers and remove reminants of resque,PineappleIOnic,2022-12-20T13:03:07Z
Processlist,fogelito,2022-12-19T12:13:19Z
Fix: incorrect durations,Meldiron,2022-12-16T12:11:16Z
feat : Update OAuth tutorial,everly-gif,2022-12-15T09:53:34Z
🇮🇸 Added missing Icelandic translations for email strings.,olitomas,2022-12-12T19:20:54Z
Fix: simply functions worker,Meldiron,2022-12-12T10:10:21Z
Refactor cache new,everly-gif,2022-12-07T12:00:28Z
pt-PT translation improvements,cesperanc,2022-11-28T10:40:39Z
Refactor cache,everly-gif,2022-11-23T22:09:46Z
README.pt-br.md,AntonyLampa,2022-11-18T13:43:51Z
Added Keycloak OAuth2 Provider,Mabenan,2022-11-10T08:13:40Z
Feat experiment mongo,wess,2022-11-04T14:23:45Z
fix: default file permission in admin mode,TorstenDittmann,2022-11-02T13:27:25Z
Feat benchmarks,abnegate,2022-11-01T03:37:31Z
feat: add dreamobjects storage,aloks98,2022-10-28T21:20:41Z
Update german translation,SoftCreatR,2022-10-27T06:53:01Z
Add Mastodon as an oauth2 provider,grahhnt,2022-10-26T17:05:23Z
Feat: console platforms variable,Meldiron,2022-10-26T12:14:44Z
Feat redis sync,shimonewman,2022-10-20T15:19:20Z
Add tutorial for how to add SMS provider,stnguyen90,2022-10-15T15:51:55Z
Fix team memberships secret exposure,Meldiron,2022-10-13T11:15:41Z
Feat : Add LINE OAuth2 Provider,everly-gif,2022-10-11T15:29:16Z
Feat: Implement 'locales' command,Meldiron,2022-10-07T07:53:21Z
Update add-oauth2-provider.md,tusharxoxoxo,2022-10-07T03:58:10Z
Fix: loose booleans,Meldiron,2022-09-23T09:27:27Z
Feat email code,christyjacob4,2022-09-23T08:29:24Z
Refactor permissions error codes,abnegate,2022-09-20T03:24:24Z
Added Turkish translations @ tr.json,ooguzsrtt,2022-09-18T07:27:36Z
Fixed typo in CONTRIBUTING.md,toir427,2022-09-17T15:27:10Z
[Snyk] Upgrade prismjs from 1.28.0 to 1.29.0,snyk-bot,2022-09-13T16:11:23Z
Feat: Improve Query tests,Meldiron,2022-09-01T11:32:33Z
GitHub Workflows security hardening,sashashura,2022-08-29T10:34:49Z
Fix: Get index 404,Meldiron,2022-08-22T18:07:08Z
Improve duplicate exception messages,Meldiron,2022-08-22T17:34:00Z
__stream,shimonewman,2022-08-22T16:07:07Z
POC: Extending SDK,lohanidamodar,2022-08-18T12:11:26Z
[Snyk] Upgrade chart.js from 3.8.1 to 3.8.2,snyk-bot,2022-08-16T16:09:19Z
Create fast2sms.php,garvitomer,2022-08-06T20:06:42Z
Add methods to match event using regex,stnguyen90,2022-08-02T18:40:17Z
Refactor tasks using new Platform Library,lohanidamodar,2022-08-01T01:18:12Z
Fix: OAuth duplication error,Meldiron,2022-07-25T10:24:40Z
master encryption filter,lohanidamodar,2022-07-21T10:39:51Z
Fix OAuth Create User event,PineappleIOnic,2022-07-20T11:09:18Z
Feat: Functions proxy,Meldiron,2022-06-27T13:33:52Z
[DEV] Feat db pools,christyjacob4,2022-06-23T08:51:30Z
WIP ci: add GitHub Action for tracking stale issues,brandonroberts,2022-06-07T14:55:17Z
Feat : better initialization of storage libs,everly-gif,2022-06-03T15:00:25Z
Add Rust to Platforms.php,PineappleIOnic,2022-05-18T13:38:05Z
Refactor s3 adapter calls,shimonewman,2022-05-08T16:24:35Z
Fix: Default values,Meldiron,2022-05-01T08:55:24Z
docs: update the Code of Conduct to the latest version,Panquesito7,2022-04-13T19:08:57Z
project level secrets,lohanidamodar,2022-03-27T10:40:48Z
Create session from oAuth2 access token,lohanidamodar,2022-03-25T11:20:16Z
Fix: Loader pointer event,Meldiron,2022-02-23T08:43:18Z
Feat 2772 allow turning off analytics,tzdev0,2022-02-10T17:48:21Z
Configurable recovery and account verify token duration,gigonzalezs,2022-02-09T05:13:35Z
feat: support managed redis 6+ userpass auth over TLS,kodumbeats,2022-02-08T23:00:29Z
Added unrestricted permissions feature,acalatrava,2022-02-07T11:48:16Z
Feat 2701 wso2 oauth,leonansaraiva,2022-01-26T18:01:05Z
Proper 409 with customIDs,Meldiron,2022-01-20T13:59:52Z
Add missing translation (eo),ErfanBahramali,2021-11-05T08:50:51Z
Session duration implementation,Meldiron,2021-10-14T12:40:58Z
experiment(repo): add phpstan,TorstenDittmann,2021-09-30T20:22:14Z
Add HTTP Example Generation,PineappleIOnic,2021-09-30T15:11:00Z
Feat: enable SMTP debugging when not in production,kodumbeats,2021-09-21T02:02:17Z
Exceptions translations,Meldiron,2021-09-18T10:04:53Z
